country,incidents,deaths,mean_severity,recent,recency,frequency_n,lethality_n,intensity_n,recency_n,pressure_index
United States,2836,3771.0,4.979548660084626,292.0,0.10296191819464035,0.7705133316234235,0.7306033384394894,0.06147590938376082,0.10296191819464035,0.5520520083179764
Nicaragua,1970,10598.0,5.819035532994924,2.0,0.0010152284263959391,0.7318455708501451,0.8222600378496061,0.07183994485178918,0.0010152284263959391,0.5503445156866676
West Bank and Gaza Strip,2227,1500.0,1.3502469690166143,810.0,0.36371800628648404,0.7448581144841457,0.6488544178345359,0.01666971566687178,0.36371800628648404,0.5496577294370225
Burundi,613,4205.0,8.861337683523654,261.0,0.4257748776508972,0.6080193656098194,0.740265041330196,0.10939923066078586,0.4257748776508972,0.545563374889739
Saudi Arabia,371,672.0,4.056603773584905,312.0,0.8409703504043127,0.5548174698248944,0.577692111214927,0.05008152806894945,0.8409703504043127,0.5288924030654252
Guatemala,2050,5167.0,2.8207317073170732,7.0,0.0034146341463414634,0.7360696979291704,0.7585380801769175,0.034823848238482384,0.0034146341463414634,0.527725075582467
Myanmar,546,1280.0,3.837912087912088,323.0,0.5915750915750916,0.5957518346471387,0.6347938666157465,0.04738163071496405,0.5915750915750916,0.5245824021870877
South Africa,2016,2674.0,2.4536210317460316,99.0,0.049107142857142856,0.7342949370136344,0.7001157592847412,0.030291617675876934,0.049107142857142856,0.5156625166708291
Spain,3249,1288.0,1.1558941212680824,79.0,0.024315173899661435,0.7849426656328886,0.6353461821927446,0.014270297793433117,0.024315173899661435,0.510368741664943
Mozambique,363,2711.0,9.559228650137742,139.0,0.38292011019283745,0.5525093356705332,0.701334441864792,0.11801516852021904,0.38292011019283745,0.5065443586346093
Niger,154,1474.0,11.103896103896103,107.0,0.6948051948051948,0.4618689631143024,0.6473042436634392,0.1370851370851371,0.6948051948051948,0.5037224081283025
Indonesia,761,1238.0,3.233245729303548,238.0,0.31274638633377133,0.6309469476525404,0.6318364126568117,0.03991661394201911,0.31274638633377133,0.49482915289942825
France,2693,534.0,0.6654288897140735,235.0,0.08726327515781657,0.7650222114989309,0.5573338262643159,0.008215171477951526,0.08726327515781657,0.48753079947423233
Greece,1275,325.0,0.5423529411764706,435.0,0.3411764705882353,0.6856817081591394,0.5133869333628037,0.006695715323166303,0.3411764705882353,0.48046959115920707
Uganda,394,3065.0,9.23223350253807,63.0,0.1598984771573604,0.5611868103503364,0.7122187049200941,0.1139781913893589,0.1598984771573604,0.4792218358981707
Iran,684,1673.0,5.391081871345029,105.0,0.15350877192982457,0.619636901005055,0.6585318860650845,0.06655656631290159,0.15350877192982457,0.4784241269579563
