country,atk_Armed Assault,atk_Assassination,atk_Bombing/Explosion,atk_Facility/Infrastructure Attack,atk_Hijacking,atk_Hostage Taking (Barricade Incident),atk_Hostage Taking (Kidnapping),atk_Unarmed Assault,atk_Unknown,tgt_Abortion Related,tgt_Airports & Aircraft,tgt_Business,tgt_Educational Institution,tgt_Food or Water Supply,tgt_Government (Diplomatic),tgt_Government (General),tgt_Journalists & Media,tgt_Maritime,tgt_Military,tgt_NGO,tgt_Other,tgt_Police,tgt_Private Citizens & Property,tgt_Religious Figures/Institutions,tgt_Telecommunication,tgt_Terrorists/Non-State Militia,tgt_Tourists,tgt_Transportation,tgt_Unknown,tgt_Utilities,tgt_Violent Political Party,suicide_rate,lethality_rate,mean_severity,incidents,cluster,pc1,pc2
Mozambique,0.5454545454545454,0.07713498622589532,0.15702479338842976,0.0881542699724518,0.0027548209366391185,0.005509641873278237,0.0743801652892562,0.0027548209366391185,0.046831955922865015,0.0,0.0027548209366391185,0.11019283746556474,0.008264462809917356,0.005509641873278237,0.0027548209366391185,0.07988980716253444,0.013774104683195593,0.005509641873278237,0.10192837465564739,0.008264462809917356,0.0,0.046831955922865015,0.30578512396694213,0.024793388429752067,0.0,0.0,0.0,0.17355371900826447,0.0,0.06060606060606061,0.049586776859504134,0.0,0.5482093663911846,9.559228650137742,363,2,2.379892724697233,-0.7033176221104005
Myanmar,0.20146520146520147,0.023809523809523808,0.5238095238095238,0.0695970695970696,0.005494505494505495,0.0,0.07509157509157509,0.0,0.10073260073260074,0.0,0.003663003663003663,0.09523809523809523,0.009157509157509158,0.0,0.0018315018315018315,0.09523809523809523,0.01282051282051282,0.016483516483516484,0.1282051282051282,0.005494505494505495,0.0018315018315018315,0.12454212454212454,0.24175824175824176,0.08608058608058608,0.003663003663003663,0.016483516483516484,0.003663003663003663,0.09157509157509157,0.0347985347985348,0.027472527472527472,0.0,0.0018315018315018315,0.4267399267399267,3.837912087912088,546,2,1.0660212982476451,1.079131840747403
Namibia,0.12582781456953643,0.1390728476821192,0.5827814569536424,0.019867549668874173,0.0,0.0,0.11258278145695365,0.0,0.019867549668874173,0.0,0.006622516556291391,0.17218543046357615,0.033112582781456956,0.006622516556291391,0.026490066225165563,0.1456953642384106,0.026490066225165563,0.0,0.059602649006622516,0.006622516556291391,0.0,0.06622516556291391,0.3443708609271523,0.0,0.006622516556291391,0.0,0.006622516556291391,0.046357615894039736,0.0,0.033112582781456956,0.013245033112582781,0.0,0.41721854304635764,2.801324503311258,151,2,-0.3802819006059308,0.7165432161090028
Nepal,0.15720164609053497,0.08559670781893004,0.5053497942386831,0.11358024691358025,0.0008230452674897119,0.0016460905349794238,0.09218106995884774,0.006584362139917695,0.037037037037037035,0.0,0.011522633744855968,0.07407407407407407,0.04938271604938271,0.0024691358024691358,0.005761316872427984,0.2288065843621399,0.015637860082304528,0.0,0.019753086419753086,0.006584362139917695,0.0,0.08477366255144032,0.19753086419753085,0.01316872427983539,0.01728395061728395,0.00411522633744856,0.0016460905349794238,0.05925925925925926,0.07654320987654321,0.0024691358024691358,0.12921810699588476,0.0,0.23209876543209876,2.505761316872428,1215,2,-1.0237393639290198,1.92689561732394
Netherlands,0.1,0.1,0.36923076923076925,0.2923076923076923,0.023076923076923078,0.038461538461538464,0.0,0.0,0.07692307692307693,0.0,0.05384615384615385,0.25384615384615383,0.007692307692307693,0.007692307692307693,0.19230769230769232,0.16153846153846155,0.007692307692307693,0.0,0.038461538461538464,0.023076923076923078,0.0,0.015384615384615385,0.09230769230769231,0.07692307692307693,0.007692307692307693,0.0,0.0,0.023076923076923078,0.015384615384615385,0.023076923076923078,0.0,0.0,0.14615384615384616,0.5076923076923077,130,1,-3.015861440895703,-3.239412319088737
Nicaragua,0.6634517766497462,0.05532994923857868,0.14974619289340102,0.025380710659898477,0.0020304568527918783,0.013705583756345178,0.04111675126903553,0.0,0.049238578680203045,0.0,0.0040609137055837565,0.10304568527918782,0.007106598984771574,0.0015228426395939086,0.008121827411167513,0.1050761421319797,0.013705583756345178,0.013705583756345178,0.4969543147208122,0.0025380710659898475,0.0010152284263959391,0.03401015228426396,0.12030456852791878,0.008121827411167513,0.005583756345177665,0.005076142131979695,0.0005076142131979696,0.024873096446700507,0.004568527918781726,0.0350253807106599,0.005076142131979695,0.0,0.41573604060913705,5.819035532994924,1970,2,2.5944697072507186,-0.19230533904714658
Niger,0.45454545454545453,0.025974025974025976,0.16233766233766234,0.05194805194805195,0.0,0.0,0.14285714285714285,0.006493506493506494,0.15584415584415584,0.0,0.006493506493506494,0.032467532467532464,0.0,0.006493506493506494,0.01948051948051948,0.05844155844155844,0.012987012987012988,0.0,0.2662337662337662,0.01948051948051948,0.0,0.12337662337662338,0.38961038961038963,0.006493506493506494,0.006493506493506494,0.0,0.012987012987012988,0.025974025974025976,0.012987012987012988,0.0,0.0,0.07792207792207792,0.7662337662337663,11.103896103896103,154,0,5.304048176738808,-0.8330676026408006
Nigeria,0.4445866393652419,0.052469925774251344,0.2853852060404402,0.06296391092910161,0.002303557716918352,0.0053749680061428206,0.11799334527770668,0.002303557716918352,0.02661888917327873,0.0,0.0005119017148707448,0.07217814179677502,0.032761709751727666,0.0,0.0033273611466598414,0.09905298182748912,0.006910673150755055,0.006910673150755055,0.08523163552597901,0.0010238034297414896,0.0002559508574353724,0.08855899667263885,0.4404914256462759,0.05784489378039417,0.009214230867673407,0.010493985154850269,0.0,0.0148451497312516,0.02661888917327873,0.03608907089838751,0.007678525723061172,0.09956488354235987,0.6634246224724852,7.115817762989506,3907,2,3.0874189770134897,1.1121508521771
Pakistan,0.26858296213808464,0.09785634743875278,0.529858017817372,0.020879732739420936,0.0013223830734966592,0.0024359688195991092,0.05728006681514477,0.00535913140311804,0.016425389755011136,0.0,0.004036748329621381,0.08108296213808464,0.06632795100222717,0.001809576837416481,0.007238307349665924,0.08122216035634744,0.012249443207126948,0.00048719376391982185,0.12040645879732739,0.005567928730512249,0.0004175946547884187,0.13328229398663696,0.24053452115812918,0.0379315144766147,0.0039671492204899775,0.02477728285077951,0.0006959910913140312,0.04781458797327394,0.05769766146993319,0.04426503340757238,0.02818763919821826,0.03556514476614699,0.45886692650334077,3.1208936525612474,14368,2,0.750344140241704,2.840321455975673
Panama,0.11811023622047244,0.08661417322834646,0.5905511811023622,0.10236220472440945,0.023622047244094488,0.0,0.023622047244094488,0.0,0.05511811023622047,0.0,0.06299212598425197,0.2283464566929134,0.023622047244094488,0.007874015748031496,0.06299212598425197,0.2204724409448819,0.031496062992125984,0.0,0.07874015748031496,0.007874015748031496,0.0,0.07086614173228346,0.11023622047244094,0.0,0.0,0.0,0.0,0.007874015748031496,0.015748031496062992,0.06299212598425197,0.007874015748031496,0.007874015748031496,0.13385826771653545,0.6259842519685039,127,1,-2.703303855982407,-0.18113826417985135
